write_time,experiment_name,experiment_version,participant_id,trial_py_version,type,target_ans,participant_ans,time_start,time_stimulus_start,time_stimulus_end,time_response_enabled,time_response_submitted,time_response_disabled,time_trial_logged
2020-01-09T15:15:06.649730,ExperimentTaskSwitch,v0.0.1,testing,v0.0.1,TrialDigitSpan,2,-1,11.124297380447388,11.124297380447388,17.476574897766113,17.91603136062622,-1,20.91931438446045,20.9198100566864
2020-01-09T15:15:20.243613,ExperimentTaskSwitch,v0.0.1,testing,v0.0.1,TrialDigitSpan,0,0,22.46435523033142,22.46435523033142,28.863752841949463,29.283864974975586,30.340346097946167,34.513694047927856,34.513694047927856
2020-01-09T15:15:31.586647,ExperimentTaskSwitch,v0.0.1,testing,v0.0.1,TrialDigitSpan,1,-1,36.069151163101196,36.069151163101196,42.43035674095154,42.85294961929321,-1,45.856727838516235,45.856727838516235
2020-01-09T15:15:42.909847,ExperimentTaskSwitch,v0.0.1,testing,v0.0.1,TrialDigitSpan,0,-1,47.40424966812134,47.40424966812134,53.75007915496826,54.1756477355957,-1,57.179431438446045,57.179927587509155
2020-01-13T11:25:29.983721,ExperimentTaskSwitch,v0.0.1,testing,v0.0.1,TrialSpatialSpan,0,1,6.520917177200317,6.520917177200317,13.034394979476929,13.527419567108154,13.8567636013031,17.35059118270874,17.357534646987915
2020-01-13T11:27:42.753121,ExperimentTaskSwitch,v0.0.1,testing,v0.0.1,TrialDigitSpan,0,1,7.0585808753967285,7.0585808753967285,13.452027082443237,13.921243667602539,14.224796056747437,17.660590410232544,17.660590410232544
2020-01-13T12:28:33.228462,ExperimentTaskSwitch,v0.0.1,testing,v0.0.1,TrialSpatialSpan,2,1,7.310053825378418,7.310053825378418,13.702507495880127,14.157340049743652,14.482220888137817,17.948769092559814,17.948769092559814
2020-01-13T12:32:06.869575,ExperimentTaskSwitch,v0.0.1,test1,v0.0.1,TrialDigitSpan,1,1,6.785284519195557,6.785284519195557,13.301243543624878,13.862715244293213,14.574973106384277,18.45815944671631,18.45815944671631
2020-01-13T12:32:19.491794,ExperimentTaskSwitch,v0.0.1,test1,v0.0.1,TrialDigitSpan,2,1,20.518545389175415,20.518545389175415,26.850486516952515,27.28399109840393,27.613335132598877,31.08087420463562,31.08087420463562
2020-01-13T12:32:33.110974,ExperimentTaskSwitch,v0.0.1,test1,v0.0.1,TrialDigitSpan,1,1,33.140764236450195,33.140764236450195,39.46625781059265,39.90621018409729,40.73304271697998,44.70005464553833,44.70005464553833
2020-01-13T12:41:11.092046,ExperimentTaskSwitch,v0.0.1,test2,v0.0.1,TrialSpatialSpan,0,0,8.043638706207275,8.043638706207275,14.335404634475708,14.628044843673706,15.506957530975342,19.473473072052002,19.473473072052002
2020-01-13T12:41:23.346232,ExperimentTaskSwitch,v0.0.1,test2,v0.0.1,TrialSpatialSpan,2,2,21.498146772384644,21.498146772384644,27.689720630645752,27.974424123764038,28.310713052749634,31.727659702301025,31.727659702301025
2020-01-13T12:41:35.812708,ExperimentTaskSwitch,v0.0.1,test2,v0.0.1,TrialSpatialSpan,1,0,33.753326416015625,33.753326416015625,39.92406725883484,40.188435077667236,40.64326739311218,44.19363975524902,44.194135665893555
2020-01-13T12:41:47.285198,ExperimentTaskSwitch,v0.0.1,test2,v0.0.1,TrialSpatialSpan,0,-1,46.21781611442566,46.21781611442566,52.38012623786926,52.66334271430969,-1,55.66662549972534,55.66662549972534
2020-01-23T13:55:23.609462,ExperimentTaskSwitch,v0.0.1,breakplusarefive,v0.0.1,TrialSpatialSpan,1,-1,13.753101348876953,13.753101348876953,20.053296089172363,20.452576637268066,-1,23.454370498657227,23.454370498657227
2020-01-23T13:56:28.831824,ExperimentTaskSwitch,v0.0.1,breakplusarefive,v0.0.1,TrialSpatialRotation,1,-1,13.778892755508423,13.778892755508423,20.235330820083618,20.666850805282593,-1,23.680548429489136,23.680548429489136
