,block,occurence,overall_percent_acc,participant_id,switch_percent_acc,switch_type,type
0,1.0,1.0,85.71428571428571,danielle_pilot,75.0,NONE-DS,TrialDigitSpan
0,1.0,2.0,88.88888888888889,danielle_pilot,75.0,SS-DS,TrialDigitSpan
0,1.0,3.0,77.77777777777779,danielle_pilot,100.0,SR-DS,TrialDigitSpan
0,1.0,4.0,88.88888888888889,danielle_pilot,100.0,SS-DS,TrialDigitSpan
0,2.0,1.0,85.71428571428571,danielle_pilot,100.0,SS-DS,TrialDigitSpan
0,3.0,1.0,100.0,danielle_pilot,100.0,SR-DS,TrialDigitSpan
0,3.0,2.0,100.0,danielle_pilot,100.0,SS-DS,TrialDigitSpan
0,3.0,3.0,66.66666666666666,danielle_pilot,50.0,SR-DS,TrialDigitSpan
0,3.0,4.0,100.0,danielle_pilot,100.0,SR-DS,TrialDigitSpan
0,4.0,1.0,100.0,danielle_pilot,100.0,NONE-DS,TrialDigitSpan
0,4.0,2.0,100.0,danielle_pilot,100.0,SR-DS,TrialDigitSpan
0,4.0,3.0,100.0,danielle_pilot,100.0,SR-DS,TrialDigitSpan
0,4.0,4.0,88.88888888888889,danielle_pilot,75.0,SS-DS,TrialDigitSpan
0,1.0,1.0,100.0,danielle_pilot,100.0,SS-SR,TrialSpatialRotation
0,1.0,2.0,85.71428571428571,danielle_pilot,100.0,DS-SR,TrialSpatialRotation
0,1.0,3.0,50.0,danielle_pilot,100.0,DS-SR,TrialSpatialRotation
0,2.0,1.0,50.0,danielle_pilot,50.0,NONE-SR,TrialSpatialRotation
0,2.0,2.0,50.0,danielle_pilot,50.0,SS-SR,TrialSpatialRotation
0,2.0,3.0,75.0,danielle_pilot,75.0,SS-SR,TrialSpatialRotation
0,2.0,4.0,100.0,danielle_pilot,100.0,SS-SR,TrialSpatialRotation
0,2.0,5.0,50.0,danielle_pilot,100.0,DS-SR,TrialSpatialRotation
0,3.0,1.0,50.0,danielle_pilot,100.0,NONE-SR,TrialSpatialRotation
0,3.0,2.0,100.0,danielle_pilot,100.0,SS-SR,TrialSpatialRotation
0,3.0,3.0,75.0,danielle_pilot,100.0,DS-SR,TrialSpatialRotation
0,3.0,4.0,77.77777777777779,danielle_pilot,50.0,DS-SR,TrialSpatialRotation
0,4.0,1.0,50.0,danielle_pilot,25.0,DS-SR,TrialSpatialRotation
0,4.0,2.0,75.0,danielle_pilot,100.0,SS-SR,TrialSpatialRotation
0,1.0,1.0,100.0,danielle_pilot,100.0,DS-SS,TrialSpatialSpan
0,1.0,2.0,71.42857142857143,danielle_pilot,100.0,DS-SS,TrialSpatialSpan
0,1.0,3.0,33.33333333333333,danielle_pilot,50.0,SR-SS,TrialSpatialSpan
0,2.0,1.0,50.0,danielle_pilot,25.0,SR-SS,TrialSpatialSpan
0,2.0,2.0,57.14285714285714,danielle_pilot,50.0,SR-SS,TrialSpatialSpan
0,2.0,3.0,71.42857142857143,danielle_pilot,100.0,SR-SS,TrialSpatialSpan
0,2.0,4.0,42.857142857142854,danielle_pilot,75.0,SR-SS,TrialSpatialSpan
0,3.0,1.0,62.5,danielle_pilot,50.0,SR-SS,TrialSpatialSpan
0,3.0,2.0,50.0,danielle_pilot,75.0,DS-SS,TrialSpatialSpan
0,4.0,1.0,75.0,danielle_pilot,100.0,DS-SS,TrialSpatialSpan
0,4.0,2.0,85.71428571428571,danielle_pilot,75.0,DS-SS,TrialSpatialSpan
0,4.0,3.0,100.0,danielle_pilot,100.0,DS-SS,TrialSpatialSpan
